Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
10029,0,59.371235,5.216333,Zone 1: Southern (58-60°N),Tuholmane Ø,Sporadic (0-2 years),Mid-Fjord,False,5.7,Haugesund,medium,65,35.0,Stavanger-Bergen,100,8.9,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10041,4,60.054317,5.090733,Zone 2: Western (60-63°N),Kviksholmen,Occasional (3-5 years),Mid-Fjord,False,40.2,Bergen,major,100,50.5,Stavanger-Bergen,100,2.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10045,0,60.08808,5.120633,Zone 2: Western (60-63°N),Eidholmen,Sporadic (0-2 years),Mid-Fjord,False,36.1,Bergen,major,100,53.2,Stavanger-Bergen,100,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10050,1,59.866566,5.228133,Zone 1: Southern (58-60°N),Ospøy Ø,Sporadic (0-2 years),Mid-Fjord,False,52.1,Haugesund,medium,65,28.6,Stavanger-Bergen,100,2.6,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10054,3,60.02432,5.30815,Zone 2: Western (60-63°N),Tobbeholmane,Occasional (3-5 years),Mid-Fjord,False,41.9,Bergen,major,100,43.1,Stavanger-Bergen,100,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10078,0,60.997734,5.0304,Zone 2: Western (60-63°N),Mjånes,Sporadic (0-2 years),Mid-Fjord,False,67.1,Florø,medium,45,63.5,Bergen-Ålesund,90,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10080,3,60.53015,5.11575,Zone 2: Western (60-63°N),Laksevika,Occasional (3-5 years),Mid-Fjord,False,17.7,Bergen,major,100,100.4,Stavanger-Bergen,100,3.2,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10086,6,60.723415,5.328583,Zone 2: Western (60-63°N),Rekeviki,Recurrent (6-8 years),Mid-Fjord,False,36.1,Bergen,major,100,84.1,Bergen-Ålesund,90,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10087,6,61.319366,4.707167,Zone 2: Western (60-63°N),Kalvøya N,Recurrent (6-8 years),Mid-Fjord,False,35.0,Florø,medium,45,57.6,Bergen-Ålesund,90,2.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10090,2,61.370384,5.0185,Zone 2: Western (60-63°N),Trellevika,Sporadic (0-2 years),Mid-Fjord,False,25.6,Florø,medium,45,40.1,Bergen-Ålesund,90,3.1,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10091,6,61.489735,5.023517,Zone 2: Western (60-63°N),Vågsøya,Recurrent (6-8 years),Mid-Fjord,False,12.4,Florø,medium,45,39.0,Bergen-Ålesund,90,5.0,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10110,3,59.1474,5.863783,Zone 1: Southern (58-60°N),Djupevik,Occasional (3-5 years),Mid-Fjord,False,29.1,Stavanger,major,95,59.7,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10113,4,59.12232,5.934433,Zone 1: Southern (58-60°N),Kobbavika,Occasional (3-5 years),Mid-Fjord,False,28.2,Stavanger,major,95,63.8,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10136,4,59.95335,5.669683,Zone 1: Southern (58-60°N),Onarøy,Occasional (3-5 years),Mid-Fjord,False,53.8,Bergen,major,100,35.1,Stavanger-Bergen,100,2.3,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10137,4,60.264084,5.6591,Zone 2: Western (60-63°N),Matland,Occasional (3-5 years),Mid-Fjord,False,25.0,Bergen,major,100,69.0,Stavanger-Bergen,100,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10147,2,59.741932,5.98095,Zone 1: Southern (58-60°N),Tungesvik,Sporadic (0-2 years),Mid-Fjord,False,54.2,Haugesund,medium,65,29.0,Stavanger-Bergen,100,2.6,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10149,7,59.790916,6.176567,Zone 1: Southern (58-60°N),Rafdal,Recurrent (6-8 years),Mid-Fjord,False,65.9,Haugesund,medium,65,41.2,Stavanger-Bergen,100,1.9,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10181,5,62.5174,6.15805,Zone 2: Western (60-63°N),Oksebåsen V,Occasional (3-5 years),Mid-Fjord,False,2.9,Ålesund,major,85,119.7,Ålesund-Trondheim,85,13.2,Very Close to Port (<20km),Far from Lane (>60km),High Vessel Traffic
10194,3,62.735832,6.74745,Zone 2: Western (60-63°N),Hellaren,Occasional (3-5 years),Mid-Fjord,False,23.5,Molde,medium,55,82.6,Ålesund-Trondheim,85,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10197,4,62.28765,6.990333,Zone 2: Western (60-63°N),Opshaugvik,Occasional (3-5 years),Mid-Fjord,False,47.2,Molde,medium,55,99.8,Ålesund-Trondheim,85,1.5,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10206,2,63.0693,7.60185,Zone 3: Mid (63-66°N),Kleven,Sporadic (0-2 years),Mid-Fjord,False,6.0,Kristiansund,medium,60,37.8,Ålesund-Trondheim,85,8.4,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
