Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Salmon_River_km,Nearest_Salmon_River,River_Zone,Salmon_Index,Trout_Score,Salmon_Distance_Category,Salmon_Pressure,Trout_Pressure
10029,0,59.371235,5.216333,Zone 1: Southern (58-60°N),Tuholmane Ø,Sporadic (0-2 years),Mid-Fjord,False,56.2,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
10041,4,60.054317,5.090733,Zone 2: Western (60-63°N),Kviksholmen,Occasional (3-5 years),Mid-Fjord,False,75.9,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
10045,0,60.08808,5.120633,Zone 2: Western (60-63°N),Eidholmen,Sporadic (0-2 years),Mid-Fjord,False,77.3,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
10050,1,59.866566,5.228133,Zone 1: Southern (58-60°N),Ospøy Ø,Sporadic (0-2 years),Mid-Fjord,False,57.3,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
10054,3,60.02432,5.30815,Zone 2: Western (60-63°N),Tobbeholmane,Occasional (3-5 years),Mid-Fjord,False,64.9,Etneelva,Zone 2,75,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
10078,0,60.997734,5.0304,Zone 2: Western (60-63°N),Mjånes,Sporadic (0-2 years),Mid-Fjord,False,61.0,Gaula (Sunnfjord),Zone 2,70,2,Moderate (50-100km),Moderate Salmon Pressure,Medium Sea Trout
10080,3,60.53015,5.11575,Zone 2: Western (60-63°N),Laksevika,Occasional (3-5 years),Mid-Fjord,False,70.9,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
10086,6,60.723415,5.328583,Zone 2: Western (60-63°N),Rekeviki,Recurrent (6-8 years),Mid-Fjord,False,60.2,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
10087,6,61.319366,4.707167,Zone 2: Western (60-63°N),Kalvøya N,Recurrent (6-8 years),Mid-Fjord,False,59.1,Gaula (Sunnfjord),Zone 2,70,2,Moderate (50-100km),Moderate Salmon Pressure,Medium Sea Trout
10090,2,61.370384,5.0185,Zone 2: Western (60-63°N),Trellevika,Sporadic (0-2 years),Mid-Fjord,False,41.9,Gaula (Sunnfjord),Zone 2,70,2,Close to Salmon River (20-50km),Moderate Salmon Pressure,Medium Sea Trout
